Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.959707,0.708181,0,0,0,0,0,0
2,0.952381,0.681319,0,0,0,0,0,0
3,0.920635,0.676435,0,0,0,0,0,0
4,0.952381,0.715507,0,0,0,0,0,0
5,0.937729,0.703297,0,0,0,0,0,0
6,0.935287,0.678877,0,0,0,0,0,0
7,0.947497,0.647131,0,0,0,0,0,0
8,0.952381,0.749695,0,0,0,0,0,0
9,0.930403,0.693529,0,0,0,0,0,0
10,0.981685,0.676435,0,0,0,0,0,0
11,0.962149,0.742369,0,0,0,0,0,0
12,0.935287,0.688645,0,0,0,0,0,0
13,0.971917,0.661783,0,0,0,0,0,0
14,0.942613,0.676435,0,0,0,0,0,0
15,0.947497,0.683761,0,0,0,0,0,0
16,0.945055,0.735043,0,0,0,0,0,0
17,0.967033,0.673993,0,0,0,0,0,0
18,0.942613,0.688645,0,0,0,0,0,0
19,0.962149,0.754579,0,0,0,0,0,0
20,0.942613,0.649573,0,0,0,0,0,0
21,0.927961,0.715507,0,0,0,0,0,0
22,0.952381,0.637363,0,0,0,0,0,0
23,0.957265,0.695971,0,0,0,0,0,0
24,0.945055,0.727717,0,0,0,0,0,0
25,0.940171,0.688645,0,0,0,0,0,0
26,0.969475,0.671551,0,0,0,0,0,0
27,0.947497,0.705739,0,0,0,0,0,0
28,0.947497,0.691087,0,0,0,0,0,0
29,0.954823,0.678877,0,0,0,0,0,0
30,0.923077,0.691087,0,0,0,0,0,0
31,0.935287,0.678877,0,0,0,0,0,0
32,0.949939,0.678877,0,0,0,0,0,0
33,0.940171,0.710623,0,0,0,0,0,0
34,0.954823,0.698413,0,0,0,0,0,0
35,0.976801,0.691087,0,0,0,0,0,0
36,0.942613,0.681319,0,0,0,0,0,0
37,0.967033,0.757021,0,0,0,0,0,0
38,0.979243,0.686203,0,0,0,0,0,0
39,0.925519,0.661783,0,0,0,0,0,0
40,0.945055,0.664225,0,0,0,0,0,0
41,0.957265,0.725275,0,0,0,0,0,0
42,0.940171,0.671551,0,0,0,0,0,0
43,0.923077,0.693529,0,0,0,0,0,0
44,0.989011,0.759463,0,0,0,0,0,0
45,0.947497,0.691087,0,0,0,0,0,0
46,0.964591,0.693529,0,0,0,0,0,0
47,0.957265,0.710623,0,0,0,0,0,0
48,0.947497,0.678877,0,0,0,0,0,0
49,0.942613,0.676435,0,0,0,0,0,0
50,0.971917,0.673993,0,0,0,0,0,0
51,0.937729,0.644689,0,0,0,0,0,0
52,0.937729,0.698413,0,0,0,0,0,0
53,0.989011,0.688645,0,0,0,0,0,0
54,0.942613,0.683761,0,0,0,0,0,0
55,0.954823,0.698413,0,0,0,0,0,0
56,0.986569,0.681319,0,0,0,0,0,0
57,0.949939,0.652015,0,0,0,0,0,0
58,0.927961,0.717949,0,0,0,0,0,0
59,0.993895,0.693529,0,0,0,0,0,0
60,0.962149,0.669109,0,0,0,0,0,0
61,0.947497,0.698413,0,0,0,0,0,0
62,0.957265,0.688645,0,0,0,0,0,0
63,0.962149,0.669109,0,0,0,0,0,0
64,0.935287,0.659341,0,0,0,0,0,0
65,0.942613,0.673993,0,0,0,0,0,0
66,0.957265,0.676435,0,0,0,0,0,0
67,0.937729,0.688645,0,0,0,0,0,0
68,0.959707,0.686203,0,0,0,0,0,0
69,0.969475,0.688645,0,0,0,0,0,0
70,0.949939,0.715507,0,0,0,0,0,0
71,0.976801,0.698413,0,0,0,0,0,0
72,0.976801,0.676435,0,0,0,0,0,0
73,0.927961,0.678877,0,0,0,0,0,0
74,0.918193,0.703297,0,0,0,0,0,0
75,0.949939,0.691087,0,0,0,0,0,0
76,0.937729,0.666667,0,0,0,0,0,0
77,0.949939,0.695971,0,0,0,0,0,0
78,0.974359,0.671551,0,0,0,0,0,0
79,0.932845,0.747253,0,0,0,0,0,0
80,0.952381,0.757021,0,0,0,0,0,0
81,0.984127,0.703297,0,0,0,0,0,0
82,0.949939,0.666667,0,0,0,0,0,0
83,0.945055,0.673993,0,0,0,0,0,0
84,0.947497,0.683761,0,0,0,0,0,0
85,0.923077,0.688645,0,0,0,0,0,0
86,0.949939,0.693529,0,0,0,0,0,0
87,0.959707,0.693529,0,0,0,0,0,0
88,0.954823,0.703297,0,0,0,0,0,0
89,0.962149,0.693529,0,0,0,0,0,0
90,0.979243,0.710623,0,0,0,0,0,0
91,0.927961,0.652015,0,0,0,0,0,0
92,0.949939,0.681319,0,0,0,0,0,0
93,0.957265,0.686203,0,0,0,0,0,0
94,0.930403,0.676435,0,0,0,0,0,0
95,0.927961,0.659341,0,0,0,0,0,0
96,0.957265,0.720391,0,0,0,0,0,0
97,0.937729,0.703297,0,0,0,0,0,0
98,0.952381,0.686203,0,0,0,0,0,0
99,0.979243,0.698413,0,0,0,0,0,0
100,0.918193,0.652015,0,0,0,0,0,0
101,0.949939,0.637363,0,0,0,0,0,0
102,0.957265,0.727717,0,0,0,0,0,0
103,0.952381,0.683761,0,0,0,0,0,0
104,0.947497,0.693529,0,0,0,0,0,0
105,0.979243,0.691087,0,0,0,0,0,0
106,0.935287,0.703297,0,0,0,0,0,0
107,0.935287,0.703297,0,0,0,0,0,0
108,0.991453,0.688645,0,0,0,0,0,0
109,0.942613,0.730159,0,0,0,0,0,0
110,0.925519,0.683761,0,0,0,0,0,0
111,0.974359,0.691087,0,0,0,0,0,0
112,0.920635,0.693529,0,0,0,0,0,0
113,0.981685,0.664225,0,0,0,0,0,0
114,0.915751,0.700855,0,0,0,0,0,0
115,0.954823,0.676435,0,0,0,0,0,0
116,0.884005,0.664225,0,0,0,0,0,0
117,0.945055,0.744811,0,0,0,0,0,0
118,0.888889,0.713065,0,0,0,0,0,0
119,0.656899,0.659341,0,0,0,0,0,0
120,0.940171,0.693529,0,0,0,0,0,0
121,0.959707,0.688645,0,0,0,0,0,0
122,0.942613,0.686203,0,0,0,0,0,0
123,0.976801,0.691087,0,0,0,0,0,0
124,0.964591,0.693529,0,0,0,0,0,0
125,0.952381,0.705739,0,0,0,0,0,0
126,0.971917,0.693529,0,0,0,0,0,0
127,0.962149,0.669109,0,0,0,0,0,0
128,0.913309,0.676435,0,0,0,0,0,0
129,0.947497,0.710623,0,0,0,0,0,0
130,0.962149,0.739927,0,0,0,0,0,0
131,0.905983,0.720391,0,0,0,0,0,0
132,0.962149,0.771673,0,0,0,0,0,0
133,0.993895,0.698413,0,0,0,0,0,0
134,0.947497,0.759463,0,0,0,0,0,0
135,0.937729,0.703297,0,0,0,0,0,0
136,0.979243,0.671551,0,0,0,0,0,0
137,0.949939,0.695971,0,0,0,0,0,0
138,0.945055,0.683761,0,0,0,0,0,0
139,0.971917,0.691087,0,0,0,0,0,0
140,0.925519,0.705739,0,0,0,0,0,0
141,0.959707,0.705739,0,0,0,0,0,0
142,0.976801,0.669109,0,0,0,0,0,0
143,0.969475,0.703297,0,0,0,0,0,0
144,0.954823,0.683761,0,0,0,0,0,0
145,0.976801,0.688645,0,0,0,0,0,0
146,0.935287,0.683761,0,0,0,0,0,0
147,0.949939,0.647131,0,0,0,0,0,0
148,0.986569,0.695971,0,0,0,0,0,0
149,0.940171,0.703297,0,0,0,0,0,0
150,0.959707,0.713065,0,0,0,0,0,0
151,0.993895,0.698413,0,0,0,0,0,0
152,0.974359,0.725275,0,0,0,0,0,0
153,0.942613,0.698413,0,0,0,0,0,0
154,0.967033,0.681319,0,0,0,0,0,0
155,0.962149,0.717949,0,0,0,0,0,0
156,0.952381,0.700855,0,0,0,0,0,0
157,0.957265,0.705739,0,0,0,0,0,0
158,0.967033,0.703297,0,0,0,0,0,0
159,0.964591,0.722833,0,0,0,0,0,0
160,0.989011,0.708181,0,0,0,0,0,0
161,0.949939,0.695971,0,0,0,0,0,0
162,0.932845,0.727717,0,0,0,0,0,0
163,0.957265,0.710623,0,0,0,0,0,0
164,0.942613,0.710623,0,0,0,0,0,0
165,0.949939,0.735043,0,0,0,0,0,0
166,0.986569,0.705739,0,0,0,0,0,0
167,0.964591,0.730159,0,0,0,0,0,0
168,0.947497,0.730159,0,0,0,0,0,0
169,0.996337,0.735043,0,0,0,0,0,0
170,0.971917,0.776557,0,0,0,0,0,0
171,0.945055,0.691087,0,0,0,0,0,0
172,0.964591,0.705739,0,0,0,0,0,0
173,0.935287,0.776557,0,0,0,0,0,0
174,0.930403,0.708181,0,0,0,0,0,0
175,0.945055,0.796093,0,0,0,0,0,0
176,0.974359,0.776557,0,0,0,0,0,0
177,0.940171,0.744811,0,0,0,0,0,0
178,0.979243,0.730159,0,0,0,0,0,0
179,0.949939,0.737485,0,0,0,0,0,0
180,0.937729,0.713065,0,0,0,0,0,0
181,0.954823,0.722833,0,0,0,0,0,0
182,0.967033,0.732601,0,0,0,0,0,0
183,0.930403,0.739927,0,0,0,0,0,0
184,0.949939,0.747253,0,0,0,0,0,0
185,0.964591,0.722833,0,0,0,0,0,0
186,0.937729,0.722833,0,0,0,0,0,0
187,0.976801,0.776557,0,0,0,0,0,0
188,0.971917,0.742369,0,0,0,0,0,0
189,0.947497,0.761905,0,0,0,0,0,0
190,0.945055,0.749695,0,0,0,0,0,0
191,0.974359,0.747253,0,0,0,0,0,0
192,0.954823,0.744811,0,0,0,0,0,0
193,0.976801,0.742369,0,0,0,0,0,0
194,0.969475,0.752137,0,0,0,0,0,0
195,0.949939,0.774115,0,0,0,0,0,0
196,0.957265,0.720391,0,0,0,0,0,0
197,0.959707,0.757021,0,0,0,0,0,0
198,0.942613,0.800977,0,0,0,0,0,0
199,0.962149,0.786325,0,0,0,0,0,0
200,0.981685,0.781441,0,0,0,0,0,0
201,0.918193,0.769231,0,0,0,0,0,0
202,0.969475,0.759463,0,0,0,0,0,0
203,0.998779,0.791209,0,0,0,0,0,0
204,0.954823,0.761905,0,0,0,0,0,0
205,0.954823,0.771673,0,0,0,0,0,0
206,0.974359,0.786325,0,0,0,0,0,0
207,0.949939,0.757021,0,0,0,0,0,0
208,0.962149,0.754579,0,0,0,0,0,0
209,0.981685,0.776557,0,0,0,0,0,0
210,0.945055,0.786325,0,0,0,0,0,0
211,0.969475,0.791209,0,0,0,0,0,0
212,0.989011,0.803419,0,0,0,0,0,0
213,0.964591,0.788767,0,0,0,0,0,0
214,0.964591,0.771673,0,0,0,0,0,0
