Index,AIN1,AIN2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.888889,0.551893,0,0,0,0,0,0
2,0.879121,0.556777,0,0,0,0,0,0
3,0.874237,0.564103,0,0,0,0,0,0
4,0.893773,0.561661,0,0,0,0,0,0
5,0.871795,0.578755,0,0,0,0,0,0
6,0.884005,0.507937,0,0,0,0,0,0
7,0.910867,0.564103,0,0,0,0,0,0
8,0.859585,0.564103,0,0,0,0,0,0
9,0.874237,0.539683,0,0,0,0,0,0
10,0.874237,0.559219,0,0,0,0,0,0
11,0.849817,0.551893,0,0,0,0,0,0
12,0.854701,0.559219,0,0,0,0,0,0
13,0.879121,0.566545,0,0,0,0,0,0
14,0.866911,0.566545,0,0,0,0,0,0
15,0.874237,0.561661,0,0,0,0,0,0
16,0.884005,0.559219,0,0,0,0,0,0
17,0.881563,0.632479,0,0,0,0,0,0
18,0.898657,0.566545,0,0,0,0,0,0
19,0.874237,0.542125,0,0,0,0,0,0
20,0.866911,0.561661,0,0,0,0,0,0
21,0.879121,0.549451,0,0,0,0,0,0
22,0.866911,0.534799,0,0,0,0,0,0
23,0.871795,0.525031,0,0,0,0,0,0
24,0.871795,0.547009,0,0,0,0,0,0
25,0.844933,0.568987,0,0,0,0,0,0
26,0.852259,0.512821,0,0,0,0,0,0
27,0.869353,0.520147,0,0,0,0,0,0
28,0.869353,0.568987,0,0,0,0,0,0
29,0.901099,0.556777,0,0,0,0,0,0
30,0.891331,0.547009,0,0,0,0,0,0
31,0.862027,0.549451,0,0,0,0,0,0
32,0.871795,0.539683,0,0,0,0,0,0
33,0.832723,0.551893,0,0,0,0,0,0
34,0.854701,0.576313,0,0,0,0,0,0
35,0.854701,0.559219,0,0,0,0,0,0
36,0.847375,0.532357,0,0,0,0,0,0
37,0.857143,0.568987,0,0,0,0,0,0
38,0.879121,0.568987,0,0,0,0,0,0
39,0.849817,0.551893,0,0,0,0,0,0
40,0.886447,0.547009,0,0,0,0,0,0
41,0.876679,0.559219,0,0,0,0,0,0
42,0.871795,0.588523,0,0,0,0,0,0
43,0.874237,0.583639,0,0,0,0,0,0
44,0.859585,0.573871,0,0,0,0,0,0
45,0.803419,0.573871,0,0,0,0,0,0
46,0.864469,0.581197,0,0,0,0,0,0
47,0.842491,0.578755,0,0,0,0,0,0
48,0.852259,0.583639,0,0,0,0,0,0
49,0.866911,0.581197,0,0,0,0,0,0
50,0.849817,0.586081,0,0,0,0,0,0
51,0.866911,0.588523,0,0,0,0,0,0
52,0.859585,0.627595,0,0,0,0,0,0
53,0.866911,0.642247,0,0,0,0,0,0
54,0.886447,0.642247,0,0,0,0,0,0
55,0.876679,0.571429,0,0,0,0,0,0
56,0.859585,0.605617,0,0,0,0,0,0
57,0.862027,0.571429,0,0,0,0,0,0
