Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.947497,0.735043,0,0,0,0,0,0
2,0.937729,0.722833,0,0,0,0,0,0
3,0.954823,0.698413,0,0,0,0,0,0
4,0.930403,0.749695,0,0,0,0,0,0
5,0.967033,0.749695,0,0,0,0,0,0
6,0.962149,0.737485,0,0,0,0,0,0
7,0.930403,0.761905,0,0,0,0,0,0
8,0.959707,0.742369,0,0,0,0,0,0
9,0.923077,0.669109,0,0,0,0,0,0
10,0.969475,0.747253,0,0,0,0,0,0
11,0.945055,0.727717,0,0,0,0,0,0
12,0.971917,0.737485,0,0,0,0,0,0
13,0.949939,0.752137,0,0,0,0,0,0
14,0.971917,0.769231,0,0,0,0,0,0
15,0.967033,0.761905,0,0,0,0,0,0
16,0.979243,0.705739,0,0,0,0,0,0
17,0.949939,0.722833,0,0,0,0,0,0
18,0.937729,0.693529,0,0,0,0,0,0
19,0.940171,0.739927,0,0,0,0,0,0
20,0.942613,0.698413,0,0,0,0,0,0
21,0.957265,0.717949,0,0,0,0,0,0
22,0.957265,0.744811,0,0,0,0,0,0
23,0.969475,0.757021,0,0,0,0,0,0
24,0.952381,0.735043,0,0,0,0,0,0
25,0.991453,0.735043,0,0,0,0,0,0
26,0.935287,0.717949,0,0,0,0,0,0
27,0.974359,0.730159,0,0,0,0,0,0
28,0.935287,0.735043,0,0,0,0,0,0
29,0.969475,0.691087,0,0,0,0,0,0
30,0.930403,0.737485,0,0,0,0,0,0
31,0.964591,0.742369,0,0,0,0,0,0
32,0.932845,0.715507,0,0,0,0,0,0
33,0.976801,0.742369,0,0,0,0,0,0
34,0.967033,0.759463,0,0,0,0,0,0
35,0.962149,0.720391,0,0,0,0,0,0
36,0.915751,0.735043,0,0,0,0,0,0
37,0.954823,0.727717,0,0,0,0,0,0
38,0.962149,0.717949,0,0,0,0,0,0
39,0.918193,0.722833,0,0,0,0,0,0
40,0.984127,0.725275,0,0,0,0,0,0
41,0.930403,0.747253,0,0,0,0,0,0
42,0.981685,0.727717,0,0,0,0,0,0
43,0.935287,0.693529,0,0,0,0,0,0
44,0.967033,0.722833,0,0,0,0,0,0
45,0.925519,0.717949,0,0,0,0,0,0
46,0.971917,0.737485,0,0,0,0,0,0
47,0.935287,0.713065,0,0,0,0,0,0
48,0.971917,0.732601,0,0,0,0,0,0
49,0.969475,0.732601,0,0,0,0,0,0
50,0.974359,0.715507,0,0,0,0,0,0
51,0.964591,0.732601,0,0,0,0,0,0
52,0.923077,0.739927,0,0,0,0,0,0
53,0.962149,0.713065,0,0,0,0,0,0
54,0.918193,0.742369,0,0,0,0,0,0
55,0.981685,0.713065,0,0,0,0,0,0
56,0.935287,0.730159,0,0,0,0,0,0
