Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.993895,1.3895,0,0,0,0,0,0
2,1.00611,1.3431,0,0,0,0,0,0
3,0.993895,1.35531,0,0,0,0,0,0
4,1.00611,1.32357,0,0,0,0,0,0
5,1.00122,1.35287,0,0,0,0,0,0
6,1.01099,1.37241,0,0,0,0,0,0
7,1.01587,1.35287,0,0,0,0,0,0
8,1.04518,1.3602,0,0,0,0,0,0
9,0.996337,1.3602,0,0,0,0,0,0
10,1.03541,1.3138,0,0,0,0,0,0
11,0.954823,1.36264,0,0,0,0,0,0
12,1.00122,1.36264,0,0,0,0,0,0
13,0.991453,1.35531,0,0,0,0,0,0
14,1.01099,1.35043,0,0,0,0,0,0
15,1.00366,1.33333,0,0,0,0,0,0
16,1.02076,1.32112,0,0,0,0,0,0
17,1.01099,1.33822,0,0,0,0,0,0
18,1.00611,1.34799,0,0,0,0,0,0
19,1.00611,1.32845,0,0,0,0,0,0
20,0.991453,1.33822,0,0,0,0,0,0
21,1.02076,1.35531,0,0,0,0,0,0
22,0.986569,1.34066,0,0,0,0,0,0
23,1.00611,1.34799,0,0,0,0,0,0
24,0.996337,1.3431,0,0,0,0,0,0
25,1.03297,1.38462,0,0,0,0,0,0
26,0.998779,1.32112,0,0,0,0,0,0
27,1.01343,1.35043,0,0,0,0,0,0
28,0.976801,1.34799,0,0,0,0,0,0
29,1.01832,1.36752,0,0,0,0,0,0
30,0.986569,1.36996,0,0,0,0,0,0
31,1.03297,1.3602,0,0,0,0,0,0
32,0.981685,1.33822,0,0,0,0,0,0
33,1.02076,1.3431,0,0,0,0,0,0
34,1.01099,1.36752,0,0,0,0,0,0
35,1.00855,1.39683,0,0,0,0,0,0
36,1.00366,1.37241,0,0,0,0,0,0
37,1.00855,1.3431,0,0,0,0,0,0
38,0.998779,1.33822,0,0,0,0,0,0
39,1.00855,1.34554,0,0,0,0,0,0
40,1.00366,1.34799,0,0,0,0,0,0
41,1.00122,1.34066,0,0,0,0,0,0
42,1.02808,1.35775,0,0,0,0,0,0
43,1.01099,1.3602,0,0,0,0,0,0
44,1.02076,1.3602,0,0,0,0,0,0
45,0.998779,1.39438,0,0,0,0,0,0
46,1.00855,1.32357,0,0,0,0,0,0
47,0.986569,1.3431,0,0,0,0,0,0
48,1.01832,1.36264,0,0,0,0,0,0
49,1.00366,1.39683,0,0,0,0,0,0
50,1.02076,1.35287,0,0,0,0,0,0
51,1.01099,1.40415,0,0,0,0,0,0
52,1.03297,1.38706,0,0,0,0,0,0
53,0.984127,1.35287,0,0,0,0,0,0
54,1.03541,1.32845,0,0,0,0,0,0
55,0.959707,1.33089,0,0,0,0,0,0
56,1.02076,1.34799,0,0,0,0,0,0
57,0.981685,1.36508,0,0,0,0,0,0
58,1.01343,1.3431,0,0,0,0,0,0
59,0.964591,1.36508,0,0,0,0,0,0
60,1.01587,1.36752,0,0,0,0,0,0
61,0.998779,1.35287,0,0,0,0,0,0
62,1.00366,1.35775,0,0,0,0,0,0
63,1.00855,1.33089,0,0,0,0,0,0
64,0.996337,1.33333,0,0,0,0,0,0
65,1.00366,1.33822,0,0,0,0,0,0
66,1.01343,1.3431,0,0,0,0,0,0
67,1.02076,1.33333,0,0,0,0,0,0
68,0.993895,1.35775,0,0,0,0,0,0
69,1.01832,1.34554,0,0,0,0,0,0
70,1.01587,1.4188,0,0,0,0,0,0
71,0.993895,1.35531,0,0,0,0,0,0
72,0.998779,1.32112,0,0,0,0,0,0
73,0.993895,1.34799,0,0,0,0,0,0
74,0.986569,1.3431,0,0,0,0,0,0
75,1.03053,1.3431,0,0,0,0,0,0
76,0.989011,1.32112,0,0,0,0,0,0
77,1.03541,1.34554,0,0,0,0,0,0
78,1.00855,1.35531,0,0,0,0,0,0
79,1.0232,1.35775,0,0,0,0,0,0
80,0.993895,1.3431,0,0,0,0,0,0
81,1.03785,1.34799,0,0,0,0,0,0
82,0.986569,1.33822,0,0,0,0,0,0
83,1.02808,1.33578,0,0,0,0,0,0
84,0.986569,1.34066,0,0,0,0,0,0
