Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.871795,0.603175,0,0,0,0,0,0
2,0.876679,0.610501,0,0,0,0,0,0
3,0.869353,0.605617,0,0,0,0,0,0
4,0.852259,0.673993,0,0,0,0,0,0
5,0.854701,0.603175,0,0,0,0,0,0
6,0.876679,0.603175,0,0,0,0,0,0
7,0.864469,0.615385,0,0,0,0,0,0
8,0.864469,0.637363,0,0,0,0,0,0
9,0.898657,0.590965,0,0,0,0,0,0
10,0.866911,0.612943,0,0,0,0,0,0
11,0.874237,0.625153,0,0,0,0,0,0
12,0.869353,0.612943,0,0,0,0,0,0
13,0.876679,0.598291,0,0,0,0,0,0
14,0.844933,0.608059,0,0,0,0,0,0
15,0.871795,0.612943,0,0,0,0,0,0
16,0.884005,0.612943,0,0,0,0,0,0
17,0.859585,0.598291,0,0,0,0,0,0
18,0.866911,0.573871,0,0,0,0,0,0
19,0.876679,0.678877,0,0,0,0,0,0
20,0.844933,0.612943,0,0,0,0,0,0
21,0.854701,0.620269,0,0,0,0,0,0
22,0.905983,0.588523,0,0,0,0,0,0
23,0.871795,0.588523,0,0,0,0,0,0
24,0.879121,0.612943,0,0,0,0,0,0
25,0.884005,0.632479,0,0,0,0,0,0
26,0.869353,0.595849,0,0,0,0,0,0
27,0.864469,0.612943,0,0,0,0,0,0
28,0.849817,0.568987,0,0,0,0,0,0
29,0.866911,0.600733,0,0,0,0,0,0
30,0.840049,0.605617,0,0,0,0,0,0
31,0.862027,0.605617,0,0,0,0,0,0
32,0.881563,0.615385,0,0,0,0,0,0
33,0.891331,0.583639,0,0,0,0,0,0
34,0.884005,0.612943,0,0,0,0,0,0
35,0.898657,0.605617,0,0,0,0,0,0
36,0.864469,0.603175,0,0,0,0,0,0
37,0.869353,0.593407,0,0,0,0,0,0
38,0.879121,0.627595,0,0,0,0,0,0
39,0.871795,0.603175,0,0,0,0,0,0
40,0.832723,0.595849,0,0,0,0,0,0
41,0.852259,0.615385,0,0,0,0,0,0
