Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.874237,0.632479,0,0,0,0,0,0
2,0.891331,0.581197,0,0,0,0,0,0
3,0.864469,0.576313,0,0,0,0,0,0
4,0.886447,0.598291,0,0,0,0,0,0
5,0.874237,0.603175,0,0,0,0,0,0
6,0.886447,0.581197,0,0,0,0,0,0
7,0.852259,0.583639,0,0,0,0,0,0
8,0.876679,0.586081,0,0,0,0,0,0
9,0.859585,0.595849,0,0,0,0,0,0
10,0.886447,0.644689,0,0,0,0,0,0
11,0.852259,0.576313,0,0,0,0,0,0
12,0.844933,0.598291,0,0,0,0,0,0
13,0.866911,0.605617,0,0,0,0,0,0
14,0.886447,0.610501,0,0,0,0,0,0
15,0.886447,0.595849,0,0,0,0,0,0
16,0.888889,0.598291,0,0,0,0,0,0
17,0.881563,0.652015,0,0,0,0,0,0
18,0.876679,0.588523,0,0,0,0,0,0
19,0.886447,0.586081,0,0,0,0,0,0
20,0.854701,0.581197,0,0,0,0,0,0
21,0.869353,0.590965,0,0,0,0,0,0
22,0.849817,0.652015,0,0,0,0,0,0
23,0.888889,0.586081,0,0,0,0,0,0
24,0.837607,0.598291,0,0,0,0,0,0
25,0.864469,0.583639,0,0,0,0,0,0
26,0.874237,0.600733,0,0,0,0,0,0
27,0.876679,0.632479,0,0,0,0,0,0
28,0.896215,0.603175,0,0,0,0,0,0
29,0.859585,0.608059,0,0,0,0,0,0
30,0.896215,0.676435,0,0,0,0,0,0
31,0.854701,0.603175,0,0,0,0,0,0
32,0.891331,0.603175,0,0,0,0,0,0
33,0.842491,0.590965,0,0,0,0,0,0
34,0.876679,0.578755,0,0,0,0,0,0
35,0.874237,0.603175,0,0,0,0,0,0
36,0.893773,0.649573,0,0,0,0,0,0
37,0.881563,0.568987,0,0,0,0,0,0
38,0.866911,0.593407,0,0,0,0,0,0
39,0.879121,0.586081,0,0,0,0,0,0
40,0.876679,0.615385,0,0,0,0,0,0
41,0.901099,0.620269,0,0,0,0,0,0
42,0.874237,0.600733,0,0,0,0,0,0
43,0.898657,0.573871,0,0,0,0,0,0
44,0.869353,0.600733,0,0,0,0,0,0
45,0.884005,0.590965,0,0,0,0,0,0
46,0.859585,0.605617,0,0,0,0,0,0
47,0.852259,0.605617,0,0,0,0,0,0
48,0.888889,0.615385,0,0,0,0,0,0
49,0.866911,0.598291,0,0,0,0,0,0
50,0.884005,0.620269,0,0,0,0,0,0
51,0.866911,0.630037,0,0,0,0,0,0
52,0.886447,0.625153,0,0,0,0,0,0
53,0.891331,0.627595,0,0,0,0,0,0
54,0.903541,0.630037,0,0,0,0,0,0
55,0.864469,0.612943,0,0,0,0,0,0
56,0.869353,0.620269,0,0,0,0,0,0
57,0.869353,0.659341,0,0,0,0,0,0
58,0.857143,0.634921,0,0,0,0,0,0
59,0.869353,0.608059,0,0,0,0,0,0
60,0.857143,0.617827,0,0,0,0,0,0
61,0.879121,0.612943,0,0,0,0,0,0
62,0.857143,0.644689,0,0,0,0,0,0
63,0.879121,0.588523,0,0,0,0,0,0
64,0.862027,0.634921,0,0,0,0,0,0
65,0.884005,0.647131,0,0,0,0,0,0
66,0.864469,0.644689,0,0,0,0,0,0
67,0.915751,0.620269,0,0,0,0,0,0
68,0.869353,0.683761,0,0,0,0,0,0
69,0.888889,0.625153,0,0,0,0,0,0
70,0.888889,0.654457,0,0,0,0,0,0
71,0.866911,0.644689,0,0,0,0,0,0
72,0.866911,0.625153,0,0,0,0,0,0
73,0.852259,0.652015,0,0,0,0,0,0
74,0.874237,0.644689,0,0,0,0,0,0
75,0.862027,0.688645,0,0,0,0,0,0
76,0.864469,0.642247,0,0,0,0,0,0
77,0.857143,0.625153,0,0,0,0,0,0
78,0.891331,0.652015,0,0,0,0,0,0
79,0.869353,0.705739,0,0,0,0,0,0
80,0.864469,0.639805,0,0,0,0,0,0
81,0.891331,0.644689,0,0,0,0,0,0
82,0.869353,0.639805,0,0,0,0,0,0
83,0.876679,0.639805,0,0,0,0,0,0
84,0.869353,0.630037,0,0,0,0,0,0
85,0.849817,0.605617,0,0,0,0,0,0
86,0.844933,0.632479,0,0,0,0,0,0
87,0.876679,0.656899,0,0,0,0,0,0
88,0.864469,0.688645,0,0,0,0,0,0
89,0.869353,0.642247,0,0,0,0,0,0
90,0.849817,0.639805,0,0,0,0,0,0
91,0.869353,0.664225,0,0,0,0,0,0
92,0.849817,0.664225,0,0,0,0,0,0
93,0.893773,0.644689,0,0,0,0,0,0
94,0.871795,0.615385,0,0,0,0,0,0
95,0.866911,0.671551,0,0,0,0,0,0
96,0.857143,0.656899,0,0,0,0,0,0
97,0.864469,0.652015,0,0,0,0,0,0
98,0.869353,0.639805,0,0,0,0,0,0
99,0.830281,0.647131,0,0,0,0,0,0
100,0.869353,0.664225,0,0,0,0,0,0
101,0.844933,0.661783,0,0,0,0,0,0
102,0.869353,0.661783,0,0,0,0,0,0
103,0.852259,0.656899,0,0,0,0,0,0
104,0.886447,0.664225,0,0,0,0,0,0
105,0.866911,0.744811,0,0,0,0,0,0
106,0.879121,0.688645,0,0,0,0,0,0
107,0.869353,0.666667,0,0,0,0,0,0
108,0.871795,0.671551,0,0,0,0,0,0
109,0.869353,0.669109,0,0,0,0,0,0
110,0.849817,0.669109,0,0,0,0,0,0
111,0.876679,0.725275,0,0,0,0,0,0
112,0.840049,0.678877,0,0,0,0,0,0
113,0.888889,0.656899,0,0,0,0,0,0
114,0.857143,0.676435,0,0,0,0,0,0
115,0.888889,0.659341,0,0,0,0,0,0
116,0.849817,0.688645,0,0,0,0,0,0
117,0.886447,0.683761,0,0,0,0,0,0
118,0.864469,0.698413,0,0,0,0,0,0
119,0.896215,0.661783,0,0,0,0,0,0
120,0.869353,0.669109,0,0,0,0,0,0
121,0.864469,0.673993,0,0,0,0,0,0
122,0.854701,0.754579,0,0,0,0,0,0
123,0.854701,0.686203,0,0,0,0,0,0
124,0.876679,0.693529,0,0,0,0,0,0
125,0.849817,0.644689,0,0,0,0,0,0
126,0.854701,0.698413,0,0,0,0,0,0
127,0.859585,0.693529,0,0,0,0,0,0
128,0.874237,0.686203,0,0,0,0,0,0
129,0.854701,0.691087,0,0,0,0,0,0
130,0.874237,0.698413,0,0,0,0,0,0
131,0.847375,0.708181,0,0,0,0,0,0
132,0.901099,0.708181,0,0,0,0,0,0
