Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.981685,0.945055,0,0,0,0,0,0
2,1.01343,1.01343,0,0,0,0,0,0
3,1.0232,1.01587,0,0,0,0,0,0
4,1.00366,0.952381,0,0,0,0,0,0
5,1.01832,0.954823,0,0,0,0,0,0
6,0.991453,0.952381,0,0,0,0,0,0
7,1.01099,0.981685,0,0,0,0,0,0
8,0.974359,0.996337,0,0,0,0,0,0
9,1.00122,0.954823,0,0,0,0,0,0
10,1.00366,0.949939,0,0,0,0,0,0
11,0.996337,0.959707,0,0,0,0,0,0
12,1.02076,0.930403,0,0,0,0,0,0
13,0.996337,0.969475,0,0,0,0,0,0
14,1.03297,0.959707,0,0,0,0,0,0
15,0.991453,0.942613,0,0,0,0,0,0
16,0.996337,0.932845,0,0,0,0,0,0
17,0.998779,0.952381,0,0,0,0,0,0
18,1.00122,0.949939,0,0,0,0,0,0
19,1.01343,0.962149,0,0,0,0,0,0
20,0.993895,0.927961,0,0,0,0,0,0
21,1.0232,0.969475,0,0,0,0,0,0
22,0.989011,0.949939,0,0,0,0,0,0
23,1.02564,1.01587,0,0,0,0,0,0
24,0.986569,0.937729,0,0,0,0,0,0
25,0.981685,0.952381,0,0,0,0,0,0
26,1.00122,0.940171,0,0,0,0,0,0
27,0.984127,0.913309,0,0,0,0,0,0
28,1.01099,0.957265,0,0,0,0,0,0
29,0.989011,0.957265,0,0,0,0,0,0
30,1.04274,0.959707,0,0,0,0,0,0
31,0.976801,0.930403,0,0,0,0,0,0
32,0.998779,0.957265,0,0,0,0,0,0
33,1.00855,0.937729,0,0,0,0,0,0
34,0.981685,0.935287,0,0,0,0,0,0
35,1.00366,0.949939,0,0,0,0,0,0
36,0.989011,0.962149,0,0,0,0,0,0
37,1.01587,0.957265,0,0,0,0,0,0
38,0.986569,0.940171,0,0,0,0,0,0
39,1.04518,0.964591,0,0,0,0,0,0
40,1.00366,1.01099,0,0,0,0,0,0
41,0.915751,0.971917,0,0,0,0,0,0
42,1.01099,0.959707,0,0,0,0,0,0
43,0.979243,0.945055,0,0,0,0,0,0
44,1.02076,0.942613,0,0,0,0,0,0
45,0.969475,0.962149,0,0,0,0,0,0
46,1.01099,0.954823,0,0,0,0,0,0
47,1.01587,0.959707,0,0,0,0,0,0
48,1.00366,0.979243,0,0,0,0,0,0
49,1.0232,0.949939,0,0,0,0,0,0
50,0.993895,0.942613,0,0,0,0,0,0
51,1.03541,0.937729,0,0,0,0,0,0
52,0.954823,0.952381,0,0,0,0,0,0
53,1.02808,0.947497,0,0,0,0,0,0
54,1.00611,0.954823,0,0,0,0,0,0
55,1.00611,0.952381,0,0,0,0,0,0
56,1.03053,0.964591,0,0,0,0,0,0
57,0.996337,0.962149,0,0,0,0,0,0
58,1.03785,0.974359,0,0,0,0,0,0
59,1.00122,0.976801,0,0,0,0,0,0
60,1.00366,0.967033,0,0,0,0,0,0
61,0.991453,0.918193,0,0,0,0,0,0
62,0.986569,1.02076,0,0,0,0,0,0
63,1.01587,0.925519,0,0,0,0,0,0
64,0.984127,0.984127,0,0,0,0,0,0
65,1.03297,1.0232,0,0,0,0,0,0
66,1.00855,0.967033,0,0,0,0,0,0
67,1.00611,0.962149,0,0,0,0,0,0
68,1.00611,1.01343,0,0,0,0,0,0
69,1.00366,0.989011,0,0,0,0,0,0
70,1.00855,0.920635,0,0,0,0,0,0
71,0.971917,0.964591,0,0,0,0,0,0
72,1.03297,1.00855,0,0,0,0,0,0
73,0.989011,0.918193,0,0,0,0,0,0
74,1.00611,0.952381,0,0,0,0,0,0
75,1.02076,1.02808,0,0,0,0,0,0
76,1.00611,0.964591,0,0,0,0,0,0
77,1.03785,0.952381,0,0,0,0,0,0
78,0.981685,0.949939,0,0,0,0,0,0
79,0.981685,0.979243,0,0,0,0,0,0
80,0.986569,0.940171,0,0,0,0,0,0
81,0.981685,0.930403,0,0,0,0,0,0
82,1.01587,0.962149,0,0,0,0,0,0
83,0.998779,0.942613,0,0,0,0,0,0
84,1.03053,0.957265,0,0,0,0,0,0
85,0.993895,0.962149,0,0,0,0,0,0
86,1.04762,0.964591,0,0,0,0,0,0
87,0.969475,0.937729,0,0,0,0,0,0
88,0.996337,0.945055,0,0,0,0,0,0
89,1.00611,0.954823,0,0,0,0,0,0
90,0.991453,0.967033,0,0,0,0,0,0
91,1.00855,0.959707,0,0,0,0,0,0
92,0.998779,0.962149,0,0,0,0,0,0
93,1.04762,0.959707,0,0,0,0,0,0
94,0.989011,0.969475,0,0,0,0,0,0
95,1.01587,0.959707,0,0,0,0,0,0
96,1.01099,0.937729,0,0,0,0,0,0
97,0.986569,0.957265,0,0,0,0,0,0
98,0.996337,0.957265,0,0,0,0,0,0
99,0.993895,0.954823,0,0,0,0,0,0
100,1.04029,0.971917,0,0,0,0,0,0
101,0.979243,0.989011,0,0,0,0,0,0
102,1.03541,0.952381,0,0,0,0,0,0
103,0.996337,0.969475,0,0,0,0,0,0
104,1.00366,0.969475,0,0,0,0,0,0
105,1.00611,0.949939,0,0,0,0,0,0
106,0.981685,0.949939,0,0,0,0,0,0
107,1.03053,0.908425,0,0,0,0,0,0
108,0.986569,0.962149,0,0,0,0,0,0
109,1.03053,0.959707,0,0,0,0,0,0
110,0.979243,0.967033,0,0,0,0,0,0
111,1.00855,0.979243,0,0,0,0,0,0
112,0.981685,0.969475,0,0,0,0,0,0
113,0.991453,0.964591,0,0,0,0,0,0
114,1.01099,0.952381,0,0,0,0,0,0
115,0.979243,0.932845,0,0,0,0,0,0
116,1.01343,0.923077,0,0,0,0,0,0
117,0.984127,0.962149,0,0,0,0,0,0
118,1.02076,0.942613,0,0,0,0,0,0
119,1.02076,0.971917,0,0,0,0,0,0
120,1.01587,0.952381,0,0,0,0,0,0
121,1.02808,0.971917,0,0,0,0,0,0
122,0.996337,0.971917,0,0,0,0,0,0
123,1.01099,0.969475,0,0,0,0,0,0
124,0.976801,0.971917,0,0,0,0,0,0
125,1.03297,0.971917,0,0,0,0,0,0
126,0.993895,0.967033,0,0,0,0,0,0
127,1.00122,0.945055,0,0,0,0,0,0
128,1.00855,0.998779,0,0,0,0,0,0
129,1.00855,1.01099,0,0,0,0,0,0
130,1.03053,1.01099,0,0,0,0,0,0
131,0.991453,1.00122,0,0,0,0,0,0
132,1.01587,0.974359,0,0,0,0,0,0
133,0.991453,0.981685,0,0,0,0,0,0
134,1.00855,0.967033,0,0,0,0,0,0
135,1.01099,0.979243,0,0,0,0,0,0
136,0.993895,0.976801,0,0,0,0,0,0
137,1.02564,0.993895,0,0,0,0,0,0
138,1.00366,0.998779,0,0,0,0,0,0
139,1.04762,0.979243,0,0,0,0,0,0
140,0.996337,0.986569,0,0,0,0,0,0
141,0.996337,1.04274,0,0,0,0,0,0
142,1.00366,0.979243,0,0,0,0,0,0
143,1.00122,0.981685,0,0,0,0,0,0
144,1.01099,0.991453,0,0,0,0,0,0
145,0.986569,1.00366,0,0,0,0,0,0
146,1.02808,0.993895,0,0,0,0,0,0
147,1.01343,1.00855,0,0,0,0,0,0
148,1.01587,1.01832,0,0,0,0,0,0
149,1.01587,0.993895,0,0,0,0,0,0
150,1.00122,1.00855,0,0,0,0,0,0
151,1.01343,0.967033,0,0,0,0,0,0
152,0.991453,0.996337,0,0,0,0,0,0
153,1.00855,1.00855,0,0,0,0,0,0
154,0.991453,0.996337,0,0,0,0,0,0
155,1.01587,1.00611,0,0,0,0,0,0
156,1.03297,1.03053,0,0,0,0,0,0
157,1.01832,1.00855,0,0,0,0,0,0
158,1.04029,0.989011,0,0,0,0,0,0
159,0.998779,0.981685,0,0,0,0,0,0
160,1.01832,0.996337,0,0,0,0,0,0
161,0.991453,1.00855,0,0,0,0,0,0
162,1.01343,0.996337,0,0,0,0,0,0
163,1.00611,1.00855,0,0,0,0,0,0
164,1.01587,1.06716,0,0,0,0,0,0
165,1.04518,1.01587,0,0,0,0,0,0
166,1.00611,1.00611,0,0,0,0,0,0
167,1.03053,1.03297,0,0,0,0,0,0
168,1.00366,0.993895,0,0,0,0,0,0
169,1.02564,0.998779,0,0,0,0,0,0
170,0.998779,1.02808,0,0,0,0,0,0
171,1.00855,1.05983,0,0,0,0,0,0
172,1.0232,0.986569,0,0,0,0,0,0
173,1.00366,1.03541,0,0,0,0,0,0
174,1.02564,1.04274,0,0,0,0,0,0
175,1.01099,1.04762,0,0,0,0,0,0
176,1.04518,1.03297,0,0,0,0,0,0
177,1.01343,1.03297,0,0,0,0,0,0
178,0.993895,1.04274,0,0,0,0,0,0
179,0.998779,1.03053,0,0,0,0,0,0
180,0.991453,1.04029,0,0,0,0,0,0
181,1.0232,1.03053,0,0,0,0,0,0
182,0.930403,1.04274,0,0,0,0,0,0
183,1.05006,1.05495,0,0,0,0,0,0
184,1.01343,1.00122,0,0,0,0,0,0
185,1.02808,1.0232,0,0,0,0,0,0
186,1.01587,1.04029,0,0,0,0,0,0
187,0.981685,1.02808,0,0,0,0,0,0
188,1.0232,1.05006,0,0,0,0,0,0
189,1.00122,1.03541,0,0,0,0,0,0
190,1.0232,1.05006,0,0,0,0,0,0
191,0.998779,1.03785,0,0,0,0,0,0
192,1.03541,1.08425,0,0,0,0,0,0
193,1.0232,1.06471,0,0,0,0,0,0
194,1.02808,1.07692,0,0,0,0,0,0
195,1.03053,1.0525,0,0,0,0,0,0
196,1.00122,1.06227,0,0,0,0,0,0
197,1.03541,1.08425,0,0,0,0,0,0
198,1.00122,1.06471,0,0,0,0,0,0
199,1.01832,1.07448,0,0,0,0,0,0
200,1.00855,1.08669,0,0,0,0,0,0
201,1.01587,1.08913,0,0,0,0,0,0
202,1.03053,1.05006,0,0,0,0,0,0
203,1.00366,1.0989,0,0,0,0,0,0
204,1.04029,1.09646,0,0,0,0,0,0
205,0.971917,1.06716,0,0,0,0,0,0
206,1.00855,1.04274,0,0,0,0,0,0
207,1.00611,1.04029,0,0,0,0,0,0
208,0.996337,1.10134,0,0,0,0,0,0
209,1.02564,1.10867,0,0,0,0,0,0
210,1.02564,1.11355,0,0,0,0,0,0
211,1.04274,1.14286,0,0,0,0,0,0
212,0.971917,1.11355,0,0,0,0,0,0
213,1.03785,1.06716,0,0,0,0,0,0
214,1.00122,1.07448,0,0,0,0,0,0
215,1.00855,1.07937,0,0,0,0,0,0
216,1.00855,1.10623,0,0,0,0,0,0
217,0.996337,1.12088,0,0,0,0,0,0
218,1.03053,1.12576,0,0,0,0,0,0
219,1.01832,1.13797,0,0,0,0,0,0
220,1.06227,1.18437,0,0,0,0,0,0
221,1.02564,1.12821,0,0,0,0,0,0
222,1.01099,1.11355,0,0,0,0,0,0
223,1.01587,1.11844,0,0,0,0,0,0
224,0.991453,1.14042,0,0,0,0,0,0
225,1.03053,1.12821,0,0,0,0,0,0
226,0.996337,1.12821,0,0,0,0,0,0
227,1.04029,1.14286,0,0,0,0,0,0
228,1.02076,1.16728,0,0,0,0,0,0
229,1.01343,1.14774,0,0,0,0,0,0
230,1.03297,1.15263,0,0,0,0,0,0
231,1.00122,1.10867,0,0,0,0,0,0
232,1.03053,1.1746,0,0,0,0,0,0
233,1.01587,1.16239,0,0,0,0,0,0
234,1.0232,1.13553,0,0,0,0,0,0
235,1.01343,1.1746,0,0,0,0,0,0
236,1.01099,1.15507,0,0,0,0,0,0
237,1.03785,1.18437,0,0,0,0,0,0
238,1.01099,1.15018,0,0,0,0,0,0
239,1.05006,1.16728,0,0,0,0,0,0
240,0.974359,1.12821,0,0,0,0,0,0
241,1.02076,1.15018,0,0,0,0,0,0
242,1.01099,1.17949,0,0,0,0,0,0
243,1.00122,1.16239,0,0,0,0,0,0
244,1.02564,1.15995,0,0,0,0,0,0
245,0.998779,1.15995,0,0,0,0,0,0
246,1.0525,1.16728,0,0,0,0,0,0
247,0.967033,1.18193,0,0,0,0,0,0
248,1.01832,1.19414,0,0,0,0,0,0
249,1.0232,1.17705,0,0,0,0,0,0
250,0.996337,1.1453,0,0,0,0,0,0
1,1.02076,1.16239,0,0,0,0,0,0
2,0.998779,1.1746,0,0,0,0,0,0
3,1.04518,1.14774,0,0,0,0,0,0
4,1.00855,1.17216,0,0,0,0,0,0
5,1.0232,1.16972,0,0,0,0,0,0
6,1.01832,1.19902,0,0,0,0,0,0
7,0.991453,1.18681,0,0,0,0,0,0
8,1.04029,1.17949,0,0,0,0,0,0
9,0.991453,1.14774,0,0,0,0,0,0
10,1.01832,1.1746,0,0,0,0,0,0
11,1.02076,1.19414,0,0,0,0,0,0
12,1.00366,1.19658,0,0,0,0,0,0
13,1.03053,1.20391,0,0,0,0,0,0
14,1.00122,1.19658,0,0,0,0,0,0
15,1.04029,1.23565,0,0,0,0,0,0
16,1.01587,1.19902,0,0,0,0,0,0
17,1.00611,1.18926,0,0,0,0,0,0
18,1.02076,1.18926,0,0,0,0,0,0
19,0.986569,1.19902,0,0,0,0,0,0
20,1.03541,1.20147,0,0,0,0,0,0
21,0.991453,1.21123,0,0,0,0,0,0
22,1.00122,1.18926,0,0,0,0,0,0
23,1.02076,1.23077,0,0,0,0,0,0
24,1.01099,1.21612,0,0,0,0,0,0
25,1.03785,1.2381,0,0,0,0,0,0
26,1.00611,1.221,0,0,0,0,0,0
27,1.03785,1.22833,0,0,0,0,0,0
28,0.993895,1.21368,0,0,0,0,0,0
29,1.02076,1.22344,0,0,0,0,0,0
30,1.01587,1.25031,0,0,0,0,0,0
31,1.00122,1.22589,0,0,0,0,0,0
32,1.03785,1.29915,0,0,0,0,0,0
33,1.00611,1.23565,0,0,0,0,0,0
34,1.04274,1.24542,0,0,0,0,0,0
35,1.02808,1.24054,0,0,0,0,0,0
36,1.00122,1.22589,0,0,0,0,0,0
37,1.00366,1.25275,0,0,0,0,0,0
38,0.998779,1.24054,0,0,0,0,0,0
39,1.02808,1.25763,0,0,0,0,0,0
40,0.991453,1.25275,0,0,0,0,0,0
41,1.00855,1.28449,0,0,0,0,0,0
42,1.01343,1.26496,0,0,0,0,0,0
43,1.01343,1.26984,0,0,0,0,0,0
44,1.02808,1.25763,0,0,0,0,0,0
45,0.996337,1.25031,0,0,0,0,0,0
46,1.0232,1.24542,0,0,0,0,0,0
47,0.959707,1.25031,0,0,0,0,0,0
48,0.998779,1.26496,0,0,0,0,0,0
49,1.01099,1.27717,0,0,0,0,0,0
50,1.00611,1.28449,0,0,0,0,0,0
51,1.04029,1.27473,0,0,0,0,0,0
52,1.00122,1.28449,0,0,0,0,0,0
53,1.02808,1.26496,0,0,0,0,0,0
54,1.00855,1.24298,0,0,0,0,0,0
55,0.998779,1.26007,0,0,0,0,0,0
56,1.01832,1.27228,0,0,0,0,0,0
57,0.989011,1.26984,0,0,0,0,0,0
58,1.03053,1.26007,0,0,0,0,0,0
59,0.989011,1.30159,0,0,0,0,0,0
60,1.01099,1.29182,0,0,0,0,0,0
61,1.00855,1.29182,0,0,0,0,0,0
62,0.993895,1.2967,0,0,0,0,0,0
63,1.00855,1.29426,0,0,0,0,0,0
64,0.993895,1.26984,0,0,0,0,0,0
65,1.02564,1.29182,0,0,0,0,0,0
66,0.986569,1.24542,0,0,0,0,0,0
