Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.854701,0.783883,0,0,0,0,0,0
2,0.854701,0.774115,0,0,0,0,0,0
3,0.859585,0.769231,0,0,0,0,0,0
4,0.857143,0.771673,0,0,0,0,0,0
5,0.849817,0.761905,0,0,0,0,0,0
6,0.844933,0.759463,0,0,0,0,0,0
7,0.854701,0.754579,0,0,0,0,0,0
8,0.844933,0.769231,0,0,0,0,0,0
9,0.847375,0.737485,0,0,0,0,0,0
10,0.840049,0.771673,0,0,0,0,0,0
11,0.849817,0.747253,0,0,0,0,0,0
12,0.857143,0.837607,0,0,0,0,0,0
13,0.862027,0.781441,0,0,0,0,0,0
14,0.862027,0.781441,0,0,0,0,0,0
15,0.852259,0.786325,0,0,0,0,0,0
16,0.852259,0.752137,0,0,0,0,0,0
17,0.869353,0.769231,0,0,0,0,0,0
18,0.849817,0.810745,0,0,0,0,0,0
19,0.830281,0.761905,0,0,0,0,0,0
20,0.842491,0.766789,0,0,0,0,0,0
21,0.876679,0.769231,0,0,0,0,0,0
22,0.849817,0.735043,0,0,0,0,0,0
23,0.830281,0.766789,0,0,0,0,0,0
24,0.844933,0.825397,0,0,0,0,0,0
25,0.864469,0.778999,0,0,0,0,0,0
26,0.876679,0.774115,0,0,0,0,0,0
27,0.862027,0.774115,0,0,0,0,0,0
28,0.849817,0.827839,0,0,0,0,0,0
29,0.854701,0.835165,0,0,0,0,0,0
30,0.871795,0.757021,0,0,0,0,0,0
31,0.847375,0.818071,0,0,0,0,0,0
32,0.844933,0.761905,0,0,0,0,0,0
33,0.840049,0.764347,0,0,0,0,0,0
34,0.832723,0.781441,0,0,0,0,0,0
35,0.854701,0.781441,0,0,0,0,0,0
36,0.857143,0.761905,0,0,0,0,0,0
37,0.852259,0.786325,0,0,0,0,0,0
38,0.862027,0.783883,0,0,0,0,0,0
39,0.874237,0.778999,0,0,0,0,0,0
40,0.864469,0.786325,0,0,0,0,0,0
41,0.832723,0.769231,0,0,0,0,0,0
42,0.852259,0.769231,0,0,0,0,0,0
43,0.857143,0.764347,0,0,0,0,0,0
44,0.837607,0.761905,0,0,0,0,0,0
45,0.849817,0.764347,0,0,0,0,0,0
46,0.835165,0.769231,0,0,0,0,0,0
47,0.840049,0.764347,0,0,0,0,0,0
48,0.884005,0.764347,0,0,0,0,0,0
49,0.859585,0.776557,0,0,0,0,0,0
50,0.854701,0.788767,0,0,0,0,0,0
51,0.862027,0.761905,0,0,0,0,0,0
52,0.854701,0.778999,0,0,0,0,0,0
53,0.871795,0.749695,0,0,0,0,0,0
54,0.866911,0.766789,0,0,0,0,0,0
55,0.830281,0.759463,0,0,0,0,0,0
56,0.835165,0.764347,0,0,0,0,0,0
57,0.864469,0.769231,0,0,0,0,0,0
58,0.866911,0.735043,0,0,0,0,0,0
59,0.844933,0.771673,0,0,0,0,0,0
60,0.857143,0.776557,0,0,0,0,0,0
61,0.859585,0.783883,0,0,0,0,0,0
62,0.881563,0.786325,0,0,0,0,0,0
63,0.869353,0.761905,0,0,0,0,0,0
64,0.854701,0.820513,0,0,0,0,0,0
65,0.859585,0.739927,0,0,0,0,0,0
66,0.847375,0.783883,0,0,0,0,0,0
67,0.864469,0.766789,0,0,0,0,0,0
68,0.840049,0.757021,0,0,0,0,0,0
69,0.825397,0.749695,0,0,0,0,0,0
70,0.854701,0.786325,0,0,0,0,0,0
71,0.862027,0.757021,0,0,0,0,0,0
72,0.857143,0.722833,0,0,0,0,0,0
73,0.854701,0.747253,0,0,0,0,0,0
74,0.862027,0.822955,0,0,0,0,0,0
75,0.866911,0.774115,0,0,0,0,0,0
76,0.888889,0.761905,0,0,0,0,0,0
77,0.862027,0.825397,0,0,0,0,0,0
78,0.844933,0.757021,0,0,0,0,0,0
79,0.835165,0.737485,0,0,0,0,0,0
80,0.847375,0.771673,0,0,0,0,0,0
81,0.862027,0.757021,0,0,0,0,0,0
82,0.854701,0.769231,0,0,0,0,0,0
83,0.840049,0.822955,0,0,0,0,0,0
84,0.759463,0.759463,0,0,0,0,0,0
85,0.849817,0.759463,0,0,0,0,0,0
86,0.876679,0.786325,0,0,0,0,0,0
87,0.876679,0.783883,0,0,0,0,0,0
88,0.857143,0.759463,0,0,0,0,0,0
