Index,AIN1,AIN 2,AIN 3,AIN 4,AIN 5,AIN 6,AIN 7,AIN 8
1,0.869353,0.808303,0,0,0,0,0,0
2,0.891331,0.810745,0,0,0,0,0,0
3,0.869353,0.776557,0,0,0,0,0,0
4,0.879121,0.803419,0,0,0,0,0,0
5,0.874237,0.788767,0,0,0,0,0,0
6,0.835165,0.818071,0,0,0,0,0,0
7,0.866911,0.830281,0,0,0,0,0,0
8,0.874237,0.793651,0,0,0,0,0,0
9,0.869353,0.840049,0,0,0,0,0,0
10,0.884005,0.810745,0,0,0,0,0,0
11,0.898657,0.805861,0,0,0,0,0,0
12,0.874237,0.798535,0,0,0,0,0,0
13,0.864469,0.793651,0,0,0,0,0,0
14,0.837607,0.798535,0,0,0,0,0,0
15,0.852259,0.854701,0,0,0,0,0,0
16,0.862027,0.820513,0,0,0,0,0,0
17,0.852259,0.805861,0,0,0,0,0,0
18,0.871795,0.803419,0,0,0,0,0,0
19,0.905983,0.815629,0,0,0,0,0,0
20,0.901099,0.791209,0,0,0,0,0,0
21,0.898657,0.822955,0,0,0,0,0,0
22,0.898657,0.805861,0,0,0,0,0,0
23,0.844933,0.813187,0,0,0,0,0,0
24,0.849817,0.786325,0,0,0,0,0,0
25,0.862027,0.815629,0,0,0,0,0,0
26,0.862027,0.783883,0,0,0,0,0,0
27,0.866911,0.793651,0,0,0,0,0,0
28,0.874237,0.805861,0,0,0,0,0,0
29,0.879121,0.808303,0,0,0,0,0,0
30,0.866911,0.791209,0,0,0,0,0,0
31,0.864469,0.859585,0,0,0,0,0,0
32,0.854701,0.805861,0,0,0,0,0,0
33,0.869353,0.815629,0,0,0,0,0,0
34,0.874237,0.827839,0,0,0,0,0,0
35,0.886447,0.822955,0,0,0,0,0,0
36,0.915751,0.800977,0,0,0,0,0,0
37,0.896215,0.822955,0,0,0,0,0,0
38,0.884005,0.803419,0,0,0,0,0,0
39,0.854701,0.815629,0,0,0,0,0,0
40,0.847375,0.803419,0,0,0,0,0,0
41,0.852259,0.820513,0,0,0,0,0,0
42,0.864469,0.810745,0,0,0,0,0,0
43,0.874237,0.813187,0,0,0,0,0,0
44,0.903541,0.820513,0,0,0,0,0,0
45,0.886447,0.808303,0,0,0,0,0,0
46,0.874237,0.852259,0,0,0,0,0,0
47,0.876679,0.832723,0,0,0,0,0,0
48,0.864469,0.832723,0,0,0,0,0,0
49,0.869353,0.844933,0,0,0,0,0,0
50,0.871795,0.793651,0,0,0,0,0,0
51,0.879121,0.818071,0,0,0,0,0,0
52,0.874237,0.859585,0,0,0,0,0,0
53,0.913309,0.815629,0,0,0,0,0,0
54,0.891331,0.813187,0,0,0,0,0,0
55,0.891331,0.818071,0,0,0,0,0,0
56,0.869353,0.810745,0,0,0,0,0,0
57,0.864469,0.791209,0,0,0,0,0,0
58,0.837607,0.781441,0,0,0,0,0,0
59,0.859585,0.800977,0,0,0,0,0,0
60,0.874237,0.837607,0,0,0,0,0,0
61,0.874237,0.847375,0,0,0,0,0,0
62,0.910867,0.832723,0,0,0,0,0,0
